1000000,669,500167,499217,0.095,,,,Number of contigs,%,Genome_size
1000000,665,500200,496569,0.3631,,,,668,0.1633,1000000
1000000,664,500067,501673,0.1606,,,,1330,0.21544,1000000
1000000,673,500169,499316,0.0853,,,,668,0.391773333,3000000
1000000,672,500032,498907,0.1125,,,,1330,0.161083333,3000000
1000000,1328,500165,503439,0.3274,,,,668,0.258181,5000000
1000000,1331,500227,501195,0.0968,,,,1330,0.11264,5000000
1000000,1328,500180,498111,0.2069,,,,668,0.306062857,7000000
1000000,1320,500108,496355,0.3753,,,,1330,0.2389,7000000
1000000,1326,500067,500775,0.0708,,,,668,0.412524444,9000000
3000000,665,1500876,1495548,0.1776,,,,1330,0.09624,9000000
3000000,668,1500840,1482621,0.6073,,,,668,0.368747273,11000000
3000000,668,1501146,1488964,0.406066667,,,,1330,0.215412727,11000000
3000000,670,1500120,1518291,0.6057,,,,668,0.396207693,13000000
3000000,668,1500533,1495667,0.1622,,,,1330,0.220750769,13000000
3000000,1324,1500020,1502092,0.069066667,,,,668,0.263501333,15000000
3000000,1333,1500020,1502092,0.069066667,,,,1330,0.295305333,15000000
3000000,1332,1500573,1493983,0.219666667,,,,,,
3000000,1326,1500158,1493873,0.2095,,,,,,
3000000,1328,1500248,1495865,0.1461,,,,,,
5000000,671,2497526,2495858,0.03336,,,,,,
5000000,667,2503749,2486632,0.34234,,,,,,
5000000,673,2496604,2471007,0.51194,,,,,,
5000000,662,2504540,2486518,0.36044,,,,,,
5000000,675,2501719,2499578,0.042825,,,,,,
5000000,1336,2499004,2500780,0.03552,,,,,,
5000000,1342,2501483,2506982,0.10998,,,,,,
5000000,1338,2502572,2516373,0.27602,,,,,,
5000000,1331,2501015,2504802,0.07574,,,,,,
5000000,1343,2501832,2498535,0.06594,,,,,,
7000000,666,3500427,3498582,0.026357143,,,,,,
7000000,661,3498217,3447048,0.730985714,,,,,,
7000000,668,3510235,3510859,0.008914286,,,,,,
7000000,669,3511826,3501942,0.1412,,,,,,
7000000,670,3488585,3532185,0.622857143,,,,,,
7000000,1329,3496349,3493456,0.041328571,,,,,,
7000000,1341,3511561,3492929,0.266171429,,,,,,
7000000,1333,3496579,3531594,0.500214286,,,,,,
7000000,1338,3501269,3501815,0.0078,,,,,,
7000000,1328,3507791,3481262,0.378985714,,,,,,
9000000,662,4498745,4468164,0.339788889,,,,,,
9000000,666,4515251,4461379,0.598577778,,,,,,
9000000,674,4488288,4524012,0.396933333,,,,,,
9000000,666,4504279,4466479,0.42,,,,,,
9000000,665,4480567,4452908,0.307322222,,,,,,
9000000,1341,4496980,4511999,0.166877778,,,,,,
9000000,1332,4492637,4495554,0.032411111,,,,,,
9000000,1339,4492972,4474695,0.203077778,,,,,,
9000000,1325,4518092,4520167,0.023055556,,,,,,
9000000,1338,4493689,4498709,0.055777778,,,,,,
11000000,665,5502149,5499858,0.020827273,,,,,,
11000000,661,5490370,5456499,0.307918182,,,,,,
11000000,667,5485215,5557533,0.657436364,,,,,,
11000000,672,5528237,5470058,0.5289,,,,,,
11000000,661,5491367,5455215,0.328654545,,,,,,
11000000,1323,5508697,5534616,0.235627273,,,,,,
11000000,1321,5521736,5507619,0.128336364,,,,,,
11000000,1340,5499659,5521258,0.196354545,,,,,,
11000000,1326,5492672,5535815,0.392209091,,,,,,
11000000,1327,5504271,5490572,0.124536364,,,,,,
13000000,665,6512770,6469724,0.331123077,,,,,,
13000000,668,6507832,6401203,0.820223077,,,,,,
13000000,667,6489476,6496696,0.055538462,,,,,,
13000000,673,6500455,6543734,0.332915385,,,,,,
13000000,660,6489560,6546921,0.441238462,,,,,,
13000000,1334,6488641,6486136,0.019269231,,,,,,
13000000,1326,6476535,6535180,0.451115385,,,,,,
13000000,1321,6490790,6424842,0.507292308,,,,,,
13000000,1342,6525663,6533450,0.0599,,,,,,
13000000,1325,6500131,6491528,0.066176923,,,,,,
15000000,671,7475135,7417689,0.382973333,,,,,,
15000000,677,7497010,7522047,0.166913333,,,,,,
15000000,673,7512773,7501665,0.074053333,,,,,,
15000000,671,7503047,7517578,0.096873333,,,,,,
15000000,667,7516250,7426746,0.596693333,,,,,,
15000000,1334,7517079,7483415,0.224426667,,,,,,
15000000,1341,7477257,7503832,0.177166667,,,,,,
15000000,1333,7488725,7529875,0.274333333,,,,,,
15000000,1328,7483197,7428201,0.36664,,,,,,
15000000,1331,7517581,7452487,0.43396,,,,,,
