,Square,Deviation,LCS
1,0.508840525,0.66927584,0.931818182
2,0.507097719,0.668195634,0.931610942
3,0.509088985,0.669832827,0.932926829
4,0.504979554,0.667822779,0.932721713
5,0.506127837,0.668261383,0.932515337
6,0.504589766,0.666974988,0.932307692
7,0.505135097,0.667730294,0.932098765
8,0.504702359,0.667268662,0.931888545
9,0.508472029,0.670278638,0.931677019
10,0.505491262,0.668543565,0.931464174
11,0.504224653,0.667708333,0.93125
12,0.506532573,0.669190831,0.931034483
13,0.508343896,0.670156345,0.93081761
14,0.508828918,0.670604924,0.930599369
15,0.51024754,0.671285389,0.930379747
16,0.5101844,0.670855937,0.93015873
17,0.509620467,0.670276008,0.929936306
18,0.512844594,0.672707108,0.92971246
19,0.515281003,0.674592447,0.931089744
20,0.514124694,0.674272405,0.930868167
21,0.516332496,0.675583446,0.930645161
22,0.512367978,0.673546299,0.930420712
23,0.513862856,0.674252932,0.930194805
24,0.515186948,0.675060282,0.929967427
25,0.514930076,0.674831279,0.929738562
26,0.51184062,0.672934748,0.929508197
27,0.512196129,0.673155738,0.929276316
28,0.511456524,0.672529095,0.929042904
29,0.513379423,0.673846524,0.928807947
30,0.515334704,0.674902642,0.928571429
31,0.515510169,0.674784053,0.928333333
32,0.518548501,0.67703456,0.929765886
33,0.518839879,0.676842271,0.929530201
34,0.522032091,0.679050008,0.929292929
35,0.520760739,0.678018928,0.929054054
36,0.522759365,0.679431974,0.930508475
37,0.52461462,0.680341289,0.930272109
38,0.524901546,0.680283718,0.93003413
39,0.522474229,0.678573098,0.929794521
40,0.522023489,0.678317563,0.929553265
41,0.519994977,0.676691551,0.929310345
42,0.521274929,0.677389333,0.930795848
43,0.519617432,0.67611015,0.930555556
44,0.516808123,0.674361208,0.930313589
45,0.520702258,0.677310494,0.93006993
46,0.522248868,0.678125383,0.929824561
47,0.524506502,0.679515691,0.929577465
48,0.527261396,0.681257154,0.929328622
49,0.527740013,0.682367241,0.929078014
50,0.525527732,0.680876303,0.928825623
51,0.525663658,0.680477885,0.928571429
52,0.52332173,0.678699437,0.928315412
53,0.522879305,0.678721539,0.928057554
54,0.521982492,0.677687453,0.927797834
55,0.520584202,0.677169989,0.927536232
56,0.524020825,0.679578393,0.927272727
57,0.525869839,0.681181155,0.928832117
58,0.521376177,0.678965803,0.928571429
59,0.525529139,0.682126697,0.928308824
60,0.525291428,0.681625787,0.92804428
61,0.524137949,0.680921143,0.927777778
62,0.524268978,0.680600303,0.927509294
63,0.527623184,0.682974533,0.927238806
64,0.528787139,0.683380849,0.926966292
65,0.527289301,0.682126665,0.926691729
66,0.526483261,0.681713718,0.926415094
67,0.52529778,0.68056032,0.926136364
68,0.523595978,0.679081691,0.925855513
69,0.521824473,0.678025136,0.925572519
70,0.521510936,0.677751455,0.925287356
71,0.523730125,0.679457707,0.925
72,0.521874673,0.678318978,0.924710425
73,0.516651979,0.675855257,0.924418605
74,0.514401148,0.674222544,0.924124514
75,0.514423624,0.675401265,0.92578125
76,0.517829443,0.677757353,0.925490196
77,0.518025654,0.677597653,0.92519685
78,0.522701307,0.681273536,0.92687747
