,Deviation,Square,LCS
1,0.659677651,0.499472499,0.928035982
2,0.659136614,0.499467234,0.927819549
3,0.658459138,0.499104368,0.92760181
4,0.657925722,0.498373962,0.927382753
5,0.655849403,0.494008877,0.927162367
6,0.655564897,0.494049812,0.926940639
7,0.654298037,0.49254214,0.926717557
8,0.652835059,0.490408676,0.926493109
9,0.650965411,0.487330966,0.926267281
10,0.651957396,0.487258461,0.927580894
11,0.651910913,0.486679441,0.927357032
12,0.650854508,0.485779179,0.927131783
13,0.653649551,0.48932829,0.926905132
14,0.65208024,0.487154535,0.926677067
15,0.650654297,0.485342646,0.926447574
16,0.651683847,0.487235284,0.926216641
17,0.652317946,0.488628355,0.925984252
18,0.651295167,0.487832729,0.925750395
19,0.653881589,0.491167639,0.925515055
20,0.653182162,0.490332253,0.925278219
21,0.654671589,0.492751647,0.925039872
22,0.653921138,0.492374838,0.9248
23,0.654647436,0.492763032,0.924558587
24,0.65661025,0.495624254,0.92431562
25,0.655244537,0.493500075,0.924071082
26,0.658696495,0.497661387,0.925445705
27,0.658479508,0.497554481,0.925203252
28,0.656611741,0.494941193,0.924959217
29,0.658817122,0.497924451,0.924713584
30,0.660747111,0.5005666,0.926108374
31,0.659160751,0.49832471,0.925864909
32,0.659042142,0.498634659,0.925619835
33,0.656890049,0.494710265,0.925373134
34,0.656681494,0.494791536,0.925124792
35,0.657277778,0.496260212,0.924874791
36,0.657598908,0.497023001,0.924623116
37,0.658382505,0.497490441,0.924369748
38,0.657200512,0.495847188,0.924114671
39,0.657745161,0.496723793,0.923857868
40,0.658879632,0.498163804,0.925297114
41,0.656717109,0.494230999,0.925042589
42,0.656210323,0.494101585,0.924786325
43,0.655904016,0.492916018,0.924528302
44,0.655318194,0.491823794,0.924268503
45,0.65353151,0.488733022,0.924006908
46,0.651812119,0.486578533,0.923743501
47,0.651499807,0.486628771,0.923478261
48,0.64922483,0.482432758,0.923211169
49,0.648992616,0.482810063,0.922942207
50,0.647349954,0.480731129,0.922671353
51,0.646821067,0.480462774,0.922398589
52,0.645856485,0.478853633,0.922123894
53,0.646748152,0.480418903,0.921847247
54,0.648092096,0.482220011,0.923351159
55,0.645701531,0.478109203,0.923076923
56,0.646715741,0.478791808,0.92459605
57,0.645088246,0.475980425,0.924324324
58,0.646483077,0.478290353,0.924050633
59,0.649167717,0.481880717,0.923774955
60,0.649666116,0.482418328,0.923497268
61,0.650101231,0.483227014,0.92321755
62,0.64789545,0.479430296,0.92293578
63,0.647667063,0.478947049,0.922651934
64,0.647853379,0.479954113,0.922365989
65,0.646392318,0.478291154,0.922077922
66,0.648208289,0.480791083,0.921787709
67,0.646984295,0.479618329,0.921495327
68,0.645920128,0.478024587,0.92120075
69,0.645386964,0.476656192,0.920903955
70,0.64754717,0.479700976,0.920604915
71,0.650266873,0.483328839,0.920303605
72,0.651317787,0.485341829,0.92
73,0.651608298,0.48653657,0.919694073
74,0.65418887,0.490162267,0.919385797
75,0.652278107,0.48731076,0.919075145
76,0.651913358,0.487318164,0.918762089
77,0.651583438,0.487499132,0.918446602
78,0.652106769,0.488977257,0.918128655
79,0.652496338,0.48871644,0.917808219
80,0.652272203,0.4891741,0.917485265
81,0.652907806,0.489092574,0.917159763
82,0.651127185,0.485912352,0.916831683
83,0.654509952,0.490254372,0.916500994
84,0.657068935,0.493738431,0.918163673
85,0.658256,0.495271885,0.917835671
86,0.655779745,0.490810182,0.91750503
87,0.656542664,0.492190287,0.917171717
88,0.656149093,0.492417834,0.9168357
89,0.658024324,0.495232142,0.916496945
90,0.658492295,0.496554355,0.916155419
91,0.658223596,0.49687753,0.915811088
92,0.65955393,0.497705417,0.915463918
93,0.663171914,0.502313753,0.915113872
94,0.664296414,0.504603451,0.914760915
95,0.663802083,0.503540651,0.91440501
96,0.661735614,0.500268892,0.914046122
97,0.659928677,0.497816517,0.913684211
98,0.657426694,0.493689309,0.913319239
99,0.659526716,0.496539861,0.91507431
100,0.661493889,0.499389641,0.914712154
101,0.664785594,0.503793244,0.914346895
102,0.665180792,0.505058579,0.913978495
103,0.663328627,0.502874504,0.913606911
104,0.663893105,0.504451719,0.913232104
105,0.664650284,0.506042438,0.912854031
106,0.665586087,0.507767125,0.912472648
107,0.665070022,0.507177028,0.912087912
108,0.66653729,0.509075929,0.911699779
109,0.665439737,0.508205083,0.911308204
110,0.664612346,0.506629399,0.91091314
111,0.665437659,0.506359877,0.910514541
112,0.667115767,0.507967427,0.912359551
113,0.665834754,0.505787775,0.911963883
114,0.668782375,0.509766192,0.9138322
115,0.668471074,0.510203941,0.913439636
116,0.668042785,0.509693607,0.913043478
117,0.669156637,0.509943628,0.912643678
118,0.670729894,0.512718226,0.912240185
119,0.669988855,0.511832307,0.911832947
120,0.669551109,0.512245139,0.911421911
121,0.669316097,0.511374561,0.911007026
122,0.67281624,0.516244157,0.912941176
123,0.673082058,0.516002708,0.912529551
124,0.673098089,0.51713298,0.912114014
125,0.674557823,0.518141745,0.911694511
126,0.671710812,0.513674865,0.911270983
127,0.676520895,0.51973925,0.910843373
128,0.676748582,0.521170311,0.910411622
129,0.681355453,0.527200716,0.912408759
130,0.68195122,0.529116683,0.91198044
131,0.679137832,0.524049948,0.911547912
132,0.681865612,0.527585714,0.913580247
133,0.684565239,0.531097262,0.915632754
134,0.681963318,0.527441073,0.91521197
135,0.6789,0.521702511,0.914786967
136,0.678341456,0.522121507,0.914357683
137,0.678935823,0.521407101,0.913924051
138,0.679481564,0.522523229,0.913486005
139,0.67987297,0.523751618,0.913043478
140,0.679421433,0.523904117,0.912596401
141,0.676400255,0.519141635,0.912144703
142,0.675508067,0.518485354,0.911688312
143,0.678493924,0.523175503,0.911227154
144,0.679888161,0.523305862,0.910761155
145,0.677257618,0.518980413,0.910290237
146,0.679152319,0.522412554,0.909814324
147,0.680115437,0.524271573,0.909333333
148,0.681403529,0.525353902,0.908847185
149,0.681928547,0.525841558,0.908355795
150,0.682220599,0.526192934,0.907859079
151,0.681887996,0.52699055,0.907356948
152,0.681835827,0.525632721,0.906849315
153,0.678873324,0.521110148,0.906336088
154,0.678184427,0.519539135,0.905817175
155,0.679814815,0.521185091,0.905292479
156,0.684747667,0.527626242,0.907563025
157,0.685708875,0.528032438,0.907042254
158,0.684764914,0.526209951,0.906515581
159,0.68475594,0.525965418,0.905982906
160,0.682579592,0.523657686,0.905444126
161,0.681166601,0.522407828,0.904899135
162,0.68034348,0.521111918,0.904347826
163,0.678069227,0.51824162,0.903790087
164,0.674669129,0.512499004,0.903225806
165,0.671799308,0.508514932,0.902654867
166,0.677497287,0.515732193,0.902077151
167,0.674567744,0.512113342,0.901492537
168,0.672774212,0.508663512,0.900900901
169,0.670706924,0.505337919,0.900302115
170,0.668429752,0.503051284,0.899696049
171,0.668872695,0.5047628,0.899082569
172,0.671308668,0.507362223,0.901538462
173,0.667543057,0.501072037,0.900928793
174,0.670498823,0.505352046,0.900311526
175,0.672773438,0.508841334,0.89968652
176,0.67350975,0.510531822,0.899053628
177,0.672808845,0.510751032,0.898412698
178,0.672278794,0.510426266,0.897763578
179,0.677884615,0.517663749,0.900321543
180,0.679667014,0.519677188,0.899676375
181,0.680258054,0.521438983,0.899022801
182,0.679823999,0.52210471,0.898360656
183,0.677674861,0.519455787,0.897689769
184,0.68260164,0.526097848,0.897009967
185,0.679244444,0.520647341,0.89632107
186,0.681545876,0.522844208,0.895622896
187,0.680834551,0.521797684,0.894915254
188,0.677032718,0.516217802,0.894197952
189,0.674516795,0.513408954,0.89347079
190,0.675053508,0.515219132,0.892733564
191,0.675588349,0.516455829,0.891986063
192,0.675485354,0.515248295,0.89122807
193,0.673527078,0.514057003,0.890459364
194,0.67481515,0.517290729,0.889679715
195,0.677602041,0.521557035,0.888888889
196,0.674033435,0.516375068,0.888086643
197,0.672337744,0.515372212,0.887272727
198,0.678832117,0.523949919,0.886446886
199,0.683228806,0.530580853,0.885608856
200,0.678792867,0.523132919,0.884758364
201,0.679494319,0.525840265,0.883895131
202,0.677652779,0.524712247,0.883018868
203,0.674644169,0.521599958,0.882129278
204,0.676883631,0.526242147,0.881226054
205,0.683786982,0.535493584,0.88030888
206,0.687338501,0.540925208,0.879377432
207,0.686950684,0.541345989,0.878431373
208,0.690681381,0.546896071,0.881422925
209,0.694633409,0.55314897,0.884462151
210,0.69088,0.547585081,0.883534137
211,0.689190947,0.547005181,0.882591093
212,0.691651795,0.551360981,0.885714286
213,0.691682343,0.553396198,0.884773663
214,0.686974933,0.545491378,0.883817427
215,0.683055556,0.541199066,0.882845188
216,0.6816609,0.54058613,0.88185654
217,0.683639759,0.543616337,0.880851064
218,0.683687632,0.545340667,0.879828326
219,0.678582045,0.536355756,0.878787879
220,0.678563327,0.537866993,0.877729258
221,0.681825177,0.541125287,0.881057269
222,0.685488292,0.547458839,0.88
223,0.685427296,0.546856182,0.878923767
224,0.688905121,0.553336467,0.877828054
225,0.687933884,0.551756141,0.876712329
226,0.698173554,0.564984372,0.880184332
227,0.696930727,0.562282237,0.879069767
228,0.693248319,0.556974448,0.877934272
229,0.68743325,0.546836055,0.876777251
230,0.685895692,0.545045077,0.875598086
231,0.681213018,0.53902562,0.874396135
232,0.681685361,0.541392718,0.873170732
233,0.680795848,0.540452043,0.871921182
234,0.676404274,0.535208899,0.870646766
235,0.6719,0.528755719,0.869346734
236,0.67003367,0.52510669,0.868020305
237,0.663369429,0.512159632,0.866666667
238,0.669571687,0.52172591,0.865284974
239,0.673936632,0.528187139,0.863874346
240,0.667479224,0.519119789,0.862433862
241,0.667496605,0.522221139,0.860962567
242,0.662619956,0.517128617,0.859459459
243,0.657017958,0.509420932,0.857923497
244,0.657529284,0.511066146,0.856353591
245,0.660493827,0.515015896,0.860335196
246,0.65446282,0.507669196,0.858757062
247,0.646823347,0.493100374,0.857142857
248,0.644074514,0.488787266,0.855491329
249,0.637912385,0.480489266,0.85380117
250,0.644429066,0.490033647,0.857988166
251,0.64739229,0.496660525,0.856287425
252,0.653070112,0.506243154,0.854545455
253,0.662700773,0.518977596,0.858895706
254,0.659960372,0.514033372,0.857142857
255,0.6584375,0.514046935,0.855345912
256,0.655664156,0.511686917,0.853503185
257,0.663379356,0.52350682,0.858064516
258,0.654916512,0.508929906,0.85620915
259,0.646814404,0.497900136,0.854304636
260,0.637688889,0.482798347,0.852348993
261,0.634404675,0.477193054,0.850340136
262,0.62507037,0.462317681,0.848275862
263,0.617862654,0.452781127,0.846153846
264,0.621305297,0.456672485,0.843971631
265,0.622857143,0.456056067,0.848920863
266,0.622768326,0.452139209,0.846715328
267,0.615051903,0.439175135,0.844444444
268,0.617063934,0.444434469,0.842105263
269,0.610422406,0.436001524,0.839694656
270,0.610177515,0.4326073,0.84496124
271,0.604492188,0.424853507,0.842519685
272,0.609977324,0.433847769,0.84
273,0.616024974,0.443946499,0.837398374
274,0.612469766,0.442477554,0.834710744
275,0.615277778,0.444746163,0.831932773
276,0.617925883,0.445717792,0.829059829
277,0.628418549,0.459927728,0.826086957
278,0.626962142,0.458447581,0.82300885
279,0.633928571,0.467775139,0.828828829
280,0.630082645,0.46578455,0.825688073
281,0.62654321,0.458810864,0.822429907
282,0.615877536,0.44335844,0.819047619
283,0.601701183,0.417475728,0.815533981
284,0.612456747,0.432397894,0.821782178
285,0.6124,0.436561656,0.818181818
286,0.613077884,0.440672239,0.81443299
287,0.616753472,0.450542594,0.810526316
288,0.622906292,0.462688292,0.806451613
289,0.625708885,0.471779973,0.802197802
290,0.61037037,0.447207474,0.797752809
291,0.597107438,0.426437956,0.793103448
292,0.605191996,0.439520732,0.788235294
293,0.609410431,0.449822821,0.78313253
294,0.595478882,0.424636214,0.777777778
295,0.595,0.429254571,0.772151899
296,0.598290598,0.438485565,0.766233766
297,0.601108033,0.44608339,0.76
298,0.61504748,0.46453906,0.767123288
299,0.625,0.480513216,0.774647887
300,0.633469388,0.497104365,0.768115942
301,0.634948097,0.507863496,0.76119403
302,0.638200184,0.511658491,0.753846154
303,0.6171875,0.483836996,0.746031746
304,0.607700312,0.470902269,0.737704918
305,0.591111111,0.455848847,0.728813559
306,0.583828775,0.458211572,0.719298246
307,0.566326531,0.437423103,0.709090909
308,0.592592593,0.471583762,0.716981132
309,0.565088757,0.429821566,0.705882353
310,0.5488,0.404753902,0.693877551
311,0.553819444,0.390306122,0.70212766
312,0.551984877,0.395559667,0.688888889
313,0.54338843,0.375828048,0.697674419
314,0.532879819,0.365853659,0.707317073
315,0.5425,0.377767355,0.692307692
316,0.526315789,0.348944086,0.675675676
317,0.540123457,0.362033462,0.685714286
318,0.560553633,0.392971734,0.696969697
319,0.55859375,0.36840176,0.709677419
320,0.573333333,0.397997775,0.724137931
321,0.581632653,0.390257252,0.703703704
322,0.603550296,0.429059829,0.68
323,0.625,0.47173913,0.652173913
324,0.636363636,0.476002259,0.666666667
325,0.62,0.440601504,0.684210526
326,0.691358025,0.533539732,0.705882353
327,0.8125,0.688235294,0.733333333
328,0.857142857,0.740659341,0.769230769
329,0.833333333,0.741258741,0.727272727
330,0.76,0.63030303,0.666666667
331,0.6875,0.476190476,0.571428571
332,0.555555556,0.485714286,0.6
333,0.25,0.1,0.333333333
334,1,1,1
