,Deviatiom,Square,LCS
1,0.674002295,0.511194558,0.928035982
2,0.674124575,0.511784831,0.927819549
3,0.674199811,0.512484716,0.92760181
4,0.673761649,0.5125271,0.927382753
5,0.672800735,0.511095985,0.927162367
6,0.671381454,0.509197551,0.926940639
7,0.671428837,0.509396076,0.926717557
8,0.673381403,0.512092797,0.926493109
9,0.671732094,0.509445383,0.926267281
10,0.672302959,0.510515226,0.926040062
11,0.672544201,0.510540331,0.925811437
12,0.675267663,0.514096564,0.925581395
13,0.676304927,0.514218433,0.926905132
14,0.677002358,0.514517768,0.926677067
15,0.678007813,0.514971266,0.926447574
16,0.678118336,0.515752917,0.926216641
17,0.678780507,0.516485312,0.925984252
18,0.677974704,0.515771305,0.925750395
19,0.67712506,0.514008015,0.925515055
20,0.679022424,0.516840472,0.925278219
21,0.678404803,0.516032582,0.925039872
22,0.677050904,0.514471749,0.9248
23,0.676939513,0.514912285,0.924558587
24,0.676471501,0.514933863,0.92431562
25,0.677502601,0.515307482,0.925686591
26,0.679349818,0.517740563,0.927066451
27,0.680374009,0.519033492,0.928455285
28,0.680993963,0.520007605,0.92822186
29,0.683625956,0.523562021,0.927986907
30,0.684504166,0.523587099,0.929392447
31,0.684556787,0.524143452,0.929159802
32,0.684453594,0.524664637,0.92892562
33,0.685605894,0.526613117,0.928689884
34,0.684826878,0.52533929,0.928452579
35,0.683022222,0.522133367,0.928213689
36,0.681670227,0.52076663,0.927973199
37,0.679609027,0.517094695,0.927731092
38,0.680622159,0.518652994,0.927487352
39,0.683379748,0.522355379,0.927241963
40,0.68519391,0.524723519,0.928692699
41,0.685327873,0.5256412,0.928449744
42,0.686938695,0.528302867,0.928205128
43,0.687875305,0.528884818,0.927958834
44,0.687167133,0.52857596,0.927710843
45,0.685933413,0.527131328,0.92746114
46,0.684354833,0.524323261,0.927209705
47,0.687295042,0.528106963,0.926956522
48,0.685573456,0.525456003,0.926701571
49,0.684128808,0.52375257,0.926444834
50,0.686020314,0.526668417,0.926186292
51,0.686594922,0.528098487,0.925925926
52,0.686773465,0.528946625,0.925663717
53,0.685805543,0.527664658,0.925399645
54,0.683831258,0.524334791,0.92513369
55,0.685420918,0.526736567,0.924865832
56,0.685744017,0.526205402,0.92459605
57,0.685691734,0.525960859,0.924324324
58,0.684943111,0.524498081,0.924050633
59,0.688011972,0.528615106,0.923774955
60,0.691583471,0.533116233,0.925318761
61,0.6931909,0.535501042,0.925045704
62,0.691784406,0.533473604,0.924770642
63,0.689784278,0.529836975,0.924493554
