,Deviation,Square,LCS
1,0.625845497,0.476459178,0.79047619
2,0.611316568,0.450762829,0.786407767
3,0.6059208,0.448473574,0.782178218
4,0.604,0.448646865,0.777777778
5,0.617242815,0.466142596,0.783505155
6,0.604166667,0.447829626,0.778947368
7,0.601177003,0.445038471,0.774193548
8,0.596408318,0.439059538,0.769230769
9,0.601481481,0.442317982,0.775280899
10,0.614152893,0.459775985,0.781609195
11,0.620876149,0.471493938,0.788235294
12,0.621315193,0.471691809,0.78313253
13,0.609756098,0.458984991,0.777777778
14,0.611875,0.460185185,0.784810127
15,0.60486522,0.449411348,0.779220779
16,0.606648199,0.446616541,0.786666667
17,0.628195763,0.474017031,0.794520548
18,0.62962963,0.477667374,0.788732394
19,0.626122449,0.471402327,0.782608696
20,0.647058824,0.501221514,0.776119403
21,0.645546373,0.505897088,0.769230769
22,0.637695313,0.499336081,0.761904762
23,0.643080125,0.501573871,0.770491803
24,0.657777778,0.526646291,0.762711864
25,0.663495838,0.52502384,0.771929825
26,0.658163265,0.526247437,0.763636364
27,0.661179698,0.532037355,0.754716981
28,0.655325444,0.528131136,0.745098039
29,0.6432,0.504633854,0.734693878
30,0.616319444,0.465045593,0.723404255
31,0.582230624,0.405920444,0.711111111
32,0.611570248,0.444679352,0.744186047
33,0.630385488,0.473300381,0.756097561
34,0.635,0.491744841,0.769230769
35,0.595567867,0.435824488,0.756756757
36,0.614197531,0.471557272,0.742857143
37,0.570934256,0.40473644,0.727272727
38,0.61328125,0.458760997,0.709677419
39,0.635555556,0.481646274,0.689655172
40,0.719387755,0.583743842,0.740740741
41,0.75147929,0.61025641,0.76
42,0.791666667,0.67,0.782608696
43,0.760330579,0.646527386,0.761904762
44,0.75,0.609774436,0.736842105
45,0.691358025,0.480908153,0.705882353
46,0.703125,0.513235294,0.666666667
47,0.755102041,0.6,0.692307692
48,0.666666667,0.447552448,0.636363636
49,0.76,0.56969697,0.555555556
50,0.625,0.380952381,0.428571429
51,0.777777778,0.542857143,0.6
52,0.5,0.3,0.333333333
53,0,0,0
