,Deviation,Square,LCS
1,0.767045455,0.646263112,0.84375
2,0.752016129,0.626920123,0.838709677
3,0.735483871,0.609042834,0.833333333
4,0.718390805,0.587755698,0.827586207
5,0.70320197,0.577651024,0.821428571
6,0.694444444,0.572691198,0.814814815
7,0.678062678,0.559385583,0.807692308
8,0.656923077,0.527058824,0.8
9,0.631666667,0.486071429,0.791666667
10,0.639492754,0.480920444,0.782608696
11,0.624505929,0.464031621,0.772727273
12,0.627705628,0.461945032,0.785714286
13,0.642857143,0.487630662,0.775
14,0.623684211,0.468421053,0.763157895
15,0.634502924,0.467638691,0.777777778
16,0.637254902,0.480812325,0.764705882
17,0.613970588,0.4375,0.75
18,0.575,0.384274194,0.733333333
19,0.6,0.427586207,0.714285714
20,0.642857143,0.481379731,0.730769231
21,0.596153846,0.412307692,0.708333333
22,0.613636364,0.458498024,0.681818182
23,0.618181818,0.457792208,0.65
24,0.744444444,0.607017544,0.722222222
25,0.777777778,0.661764706,0.75
26,0.785714286,0.666071429,0.714285714
27,0.904761905,0.799450549,0.75
28,0.866666667,0.7,0.7
29,0.85,0.775,0.75
30,0.916666667,0.857142857,0.833333333
31,0.833333333,0.7,0.75
32,1,1,1
