,Square,Deviation
1,0.357679501,0.516272189
2,0.371380552,0.52
3,0.365555797,0.519097222
4,0.388035769,0.534971645
5,0.396546864,0.547520661
6,0.441374281,0.580498866
7,0.410131332,0.5525
8,0.387569756,0.534626039
9,0.372715573,0.512345679
10,0.416806723,0.539792388
11,0.393695015,0.5390625
12,0.320133482,0.488888889
13,0.355227148,0.515306122
14,0.407521368,0.550295858
15,0.465217391,0.576388889
16,0.374364766,0.512396694
17,0.460902256,0.57
18,0.444788442,0.49382716
19,0.563235294,0.5625
20,0.621978022,0.632653061
21,0.41958042,0.5
22,0.406060606,0.4
23,0.583333333,0.4375
24,0,0
25,0,0
26,0,0
